source,target,type,weight
AT1G70170,GO:0030574,annotated_with,
AT1G70170,GO:0046686,annotated_with,
AT1G70170,GO:0050832,annotated_with,
AT1G70170,GO:0080186,annotated_with,
AT1G70170,GO:1900056,annotated_with,
AT1G70170,GO:2000028,annotated_with,
AT1G70170,GO:0005576,located_in,
AT1G70170,GO:0005886,located_in,
AT1G70170,GO:0016020,located_in,
AT1G70170,GO:0031012,located_in,
AT1G70170,GO:0048046,located_in,
AT4G38430,GO:0009860,annotated_with,
AT4G38430,GO:0080092,annotated_with,
AT4G38430,GO:2000012,annotated_with,
AT4G38430,GO:0005634,located_in,
AT4G38430,GO:0005886,located_in,
AT4G38430,GO:0016324,located_in,
AT1G62730,SF_response_upregulated,has_response,0.182725878291354
AT1G62730,GO:0009058,annotated_with,
AT1G62730,GO:0032981,annotated_with,
AT1G62730,GO:0005739,located_in,
AT3G47860,GO:0006979,annotated_with,
AT3G47860,GO:0009408,annotated_with,
AT3G47860,GO:0009414,annotated_with,
AT3G47860,GO:0009644,annotated_with,
AT3G47860,GO:0009737,annotated_with,
AT3G47860,GO:0010117,annotated_with,
AT3G47860,GO:0010431,annotated_with,
AT3G47860,GO:1901562,annotated_with,
AT3G47860,GO:0005576,located_in,
AT3G47860,GO:0005829,located_in,
AT3G47860,GO:0009507,located_in,
AT3G47860,GO:0009535,located_in,
AT3G47860,GO:0031977,located_in,
AT3G43720,GO:0006869,annotated_with,
AT3G43720,GO:0042335,annotated_with,
AT3G43720,GO:0050832,annotated_with,
AT3G43720,GO:0005886,located_in,
AT3G43720,GO:0016020,located_in,
17464,SF_response_downregulated,has_response,0.319718476842174
AT1G48140,GO:0006486,annotated_with,
AT1G48140,GO:0006506,annotated_with,
AT1G48140,ath00510,participates_in,
AT1G48140,ath01100,participates_in,
AT1G48140,GO:0005576,located_in,
AT1G48140,GO:0005739,located_in,
AT1G48140,GO:0005783,located_in,
AT1G48140,GO:0005789,located_in,
AT3G27870,GO:0015914,annotated_with,
AT3G27870,GO:0045332,annotated_with,
AT3G27870,GO:0005739,located_in,
AT3G27870,GO:0005886,located_in,
AT2G17720,GO:0080147,annotated_with,
AT2G17720,ath00330,participates_in,
AT2G17720,ath01100,participates_in,
AT2G17720,GO:0000137,located_in,
AT2G17720,GO:0005739,located_in,
AT2G17720,GO:0005783,located_in,
AT4G17895,GO:0031647,annotated_with,
AT4G17895,GO:0005634,located_in,
AT4G17895,GO:0005829,located_in,
AT3G01460,GO:0006355,annotated_with,
AT3G01460,GO:0010223,annotated_with,
AT3G01460,GO:0040029,annotated_with,
AT3G01460,GO:0048573,annotated_with,
AT3G01460,GO:0000812,located_in,
AT3G01460,GO:0005634,located_in,
AT3G01460,GO:0009506,located_in,
AT4G05150,GO:0046777,annotated_with,
AT4G05150,GO:0005634,located_in,
AT4G05150,GO:0005829,located_in,
AT4G21130,GO:0006364,annotated_with,
AT4G21130,GO:0009793,annotated_with,
AT4G21130,GO:0005634,located_in,
AT4G21130,GO:0032040,located_in,
AT4G21130,GO:0080008,located_in,
AT2G19320,GO:0008150,annotated_with,
AT2G19320,GO:0005634,located_in,
AT5G12130,GO:0010027,annotated_with,
AT5G12130,GO:0090351,annotated_with,
AT5G12130,GO:0005886,located_in,
AT5G12130,GO:0009534,located_in,
AT5G12130,GO:0009535,located_in,
AT3G08980,GO:0006465,annotated_with,
AT3G08980,GO:0006627,annotated_with,
AT3G08980,ath03060,participates_in,
AT3G08980,GO:0005739,located_in,
AT3G08980,GO:0042720,located_in,
AT3G09650,GO:0006397,annotated_with,
AT3G09650,GO:0005737,located_in,
AT3G09650,GO:0009507,located_in,
AT3G09650,GO:0009570,located_in,
AT5G17460,GO:0005634,located_in,
AT5G17460,GO:0005739,located_in,
AT4G29040,SF_response_downregulated,has_response,0.110851499393719
AT4G29040,GO:0006499,annotated_with,
AT4G29040,GO:0006511,annotated_with,
AT4G29040,GO:0009408,annotated_with,
AT4G29040,GO:0009933,annotated_with,
AT4G29040,GO:0009965,annotated_with,
AT4G29040,GO:0010015,annotated_with,
AT4G29040,GO:0010078,annotated_with,
AT4G29040,GO:0010229,annotated_with,
AT4G29040,GO:0010311,annotated_with,
AT4G29040,GO:0043161,annotated_with,
AT4G29040,GO:0043248,annotated_with,
AT4G29040,GO:0045087,annotated_with,
AT4G29040,GO:0048232,annotated_with,
AT4G29040,GO:0048364,annotated_with,
AT4G29040,GO:0048367,annotated_with,
AT4G29040,GO:0048827,annotated_with,
