gene_id,fisher_stat,fisher_pval,n_studies,mean_log2fc,median_log2fc,sd_log2fc,n_up,n_down,n_sig,direction_concordance,fisher_fdr,meta_log2fc,meta_se,meta_z,meta_pval,meta_ci_lb,meta_ci_ub,meta_I2,meta_tau2,meta_n,meta_het_pval,meta_fdr,consensus_class,direction,is_gwas_gene,is_de_gene,is_consensus_de,is_overlap,is_consensus_overlap,gwas_traits,n_gwas_associations
AT5G67100,1083.43656336908,4.69505796063334e-204,18,0.331626670588609,0.113752420545426,0.722242288044745,3,0,3,0.777777777777778,7.40663231656022e-202,0.370705495198627,0.173884879500785,2.13190184369627,0.0330149166301253,0.0298973939210019,0.711513596476253,96.6897818126704,0.493309701755624,18.0,4.5939280369375105e-148,0.23035851727238,fisher_only,upregulated,True,True,False,True,False,clim-bio6;clim-gs6;clim-bio1;clim-tmax12;clim-bio11;clim-pet4;clim-tmax10,2062.0
AT3G46690,1073.55408153248,5.6243343238352895e-202,18,-0.264998048664282,-0.3794342679268,0.817331885681686,0,3,3,0.722222222222222,8.636348394715241e-200,-0.413632874246226,0.187968254697444,-2.20054644286619,0.0277681486471598,-0.782043883690067,-0.0452218648023849,91.8282367720353,0.450200648935088,18.0,1.53584105814492e-40,0.208359741240348,fisher_only,downregulated,True,True,False,True,False,Zn66,6.0
AT1G07530,1066.75920139302,1.5092900968935e-200,18,0.0230118931687239,0.0966131688132432,0.44817851596021,1,3,4,0.666666666666667,2.2771414336880702e-198,0.0003217303746294,0.108785367737062,0.002957478393667,0.997640277090742,-0.212893672434958,0.213537133184217,95.7741214349525,0.188159650020189,18.0,1.70593590796083e-135,0.999024678619421,fisher_only,upregulated,True,True,False,True,False,S34,337.0
AT4G11460,1040.5701612631,4.81386127991621e-195,18,0.527501077471444,0.234200518070795,2.46290420656401,3,1,4,0.555555555555556,6.66251238103817e-193,0.720685089769566,0.619323589982965,1.16366484568978,0.244559861148863,-0.493166841373096,1.93453702091223,95.2603522215379,6.02987516016944,18.0,3.1325150198179903e-131,0.619578342008705,fisher_only,upregulated,True,True,False,True,False,SDV,55.0
AT4G02130,1039.60202519977,7.68887816420466e-195,18,0.31394703161907,0.141427303040706,0.886018679485532,3,1,4,0.555555555555556,1.0585158238737e-192,0.336325720334498,0.219316023528271,1.53352096633807,0.125147544778302,-0.0935257870134527,0.766177227682449,95.6979787415323,0.789418863727437,18.0,1.06390861704955e-135,0.458337892867406,fisher_only,upregulated,True,True,False,True,False,LN22,9.0
AT1G03380,1034.93480604547,7.348227421475941e-194,18,-0.113911912381695,-0.0838771147892158,0.3724807777196,0,3,3,0.555555555555556,9.905983153299299e-192,-0.131047626627933,0.090832078343861,-1.44274609826529,0.149092008219959,-0.309075228822821,0.0469799755669555,94.4955208531511,0.128516688729494,18.0,8.128207682074051e-98,0.498361058660706,fisher_only,downregulated,True,True,False,True,False,clim-aet12;clim-bio19;LRDpMR0;clim-bio16;Mean(LRD P) C,2074.0
AT3G44890,1009.98688023236,1.26988808815177e-188,18,0.0694827461373543,-0.112763092687787,0.840317274987254,4,2,6,0.722222222222222,1.61937252243648e-186,0.104406831432565,0.213309035395864,0.489462770476667,0.624514105759906,-0.313671195520308,0.522484858385437,97.667877818413,0.729128765088978,18.0,4.4705500236333397e-159,0.869976905980587,fisher_only,upregulated,True,True,False,True,False,LRDpBZ0,275.0
AT2G01600,1008.79080999231,2.26338382376705e-188,18,-0.170523720805823,-0.10276379338492,0.305661508923719,0,4,4,0.722222222222222,2.85819668703975e-186,-0.192489772992923,0.07659551127282,-2.5130685831877,0.0119686064793743,-0.342614216465082,-0.0423653295207641,92.0807197285483,0.0894060569278156,18.0,5.96968617349478e-72,0.129262943084066,fisher_only,downregulated,True,True,False,True,False,clim-gs5,769.0
AT4G37070,1006.20981563834,7.87660476816807e-188,18,-0.180076895820255,-0.307999590076934,1.12538144661503,1,7,8,0.722222222222222,9.803445181599299e-186,-0.484419002003256,0.215209726562222,-2.25091593089869,0.0243908625328986,-0.906222315187925,-0.0626156888185878,94.7578188815803,0.589035435678424,18.0,4.44534934908462e-50,0.193886243550928,fisher_only,downregulated,True,True,False,True,False,clim-gs5,769.0
AT3G12610,1004.60766811649,1.70804793440803e-187,18,0.451711257820852,0.0422599414167761,0.970935601977613,3,0,3,0.555555555555556,2.1006965839742e-185,0.440817760698034,0.239738264266134,1.83874594256961,0.0659525625678687,-0.0290606029797338,0.910696124375802,97.3165717648925,0.952394281202399,18.0,1.3425739577830901e-167,0.334102983428168,fisher_only,upregulated,True,True,False,True,False,DTFplantingSummerLocSweden2009,26.0
