accession_id,name,country,group,latitude,longitude,elevation_m,predicted_response_score,expanded_prs_763genes,genome_wide_prs
9558,IP-Moc-11,ESP,admixed,41.57,-5.64,646.0,0.6409864025080304,0.5830106342708187,0.6119985183894245
9559,IP-Mon-5,ESP,admixed,38.06,-4.38,312.0,0.6409864025080304,0.6019438044015505,0.6214651034547904
9560,IP-Mot-0,ESP,spain,38.19,-6.24,531.0,0.6409864025080304,0.5864936593740175,0.6137400309410239
9561,IP-Mun-0,ESP,admixed,40.71,-5.04,1111.0,0.6409864025080304,0.5788910290277155,0.609938715767873
9529,IP-Cap-1,ESP,admixed,36.97,-3.36,1475.0,0.6409864025080304,0.6072093093387874,0.6240978559234089
9531,IP-Cdc-3,ESP,spain,41.21,-4.54,786.0,0.6409864025080304,0.5921270859854048,0.6165567442467176
9532,IP-Cdo-0,ESP,spain,42.23,-4.64,807.0,0.6409864025080304,0.6438761921655111,0.6424312973367707
9533,IP-Cem-0,ESP,relict,41.15,-4.32,868.0,0.6409864025080304,0.52030730825624,0.5806468553821352
9534,IP-Cmo-3,ESP,spain,40.05,-4.65,391.0,0.6409864025080304,0.6336816080657043,0.6373340052868673
9535,IP-Coc-1,ESP,spain,42.31,3.19,166.0,0.6409864025080304,0.6360589582829593,0.6385226803954949
9536,IP-Cor-0,ESP,admixed,40.83,-2.0,1079.0,0.6409864025080304,0.5379546955357859,0.5894705490219081
9537,IP-Cum-1,ESP,spain,38.07,-6.66,612.0,0.6409864025080304,0.5926357746856199,0.6168110885968252
9929,ISS-20,FRA,western_europe,43.92,3.71,142.0,0.6409864025080304,0.5859231765281567,0.6134547895180935
9941,Fei-0,POR,western_europe,40.92,-8.54,179.0,0.6409864025080304,0.5578410516664958,0.599413727087263
9943,Cdm-0,ESP,spain,39.73,-5.74,433.0,0.6409864025080304,0.5779219018803041,0.6094541521941672
9944,Don-0,ESP,relict,36.83,-6.36,2.0,0.6409864025080304,0.5708391271440555,0.605912764826043
9947,Ped-0,ESP,relict,40.74,-3.9,1090.0,0.6409864025080304,0.6528145158107391,0.6469004591593848
9948,Pra-6,ESP,spain,41.05,-3.54,1100.0,0.6409864025080304,0.6280067543024542,0.6344965784052423
9949,Qui-0,ESP,western_europe,42.69,-6.93,673.0,0.6409864025080304,0.6364430553578552,0.6387147289329428
9964,Mammo-1,ITA,italy_balkan_caucasus,38.36,16.23,284.0,0.6409864025080304,0.6242765644293276,0.632631483468679
10027,Uk-6,GER,central_europe,48.02838,7.765567,212.0,0.6409864025080304,0.5590864693715135,0.600036435939772
9562,IP-Mur-0,ESP,spain,41.67,2.0,913.0,0.6409864025080304,0.5835807945196372,0.6122835985138337
9564,IP-Nog-17,ESP,spain,40.45,-1.6,1422.0,0.6409864025080304,0.615217639344868,0.6281020209264492
9567,IP-Pal-0,ESP,spain,42.34,1.3,1474.0,0.6409864025080304,0.561982568241272,0.6014844853746513
9568,IP-Pan-0,ESP,spain,42.76,-0.23,1751.0,0.6409864025080304,0.619616355413202,0.6303013789606162
9569,IP-Pds-1,ESP,western_europe,42.87,-6.45,830.0,0.6409864025080304,0.5909066405632863,0.6159465215356583
9571,IP-Pro-0,ESP,western_europe,43.28,-6.01,590.0,0.6409864025080304,0.5864617782815426,0.6137240903947865
9573,IP-Rds-0,ESP,spain,41.86,2.99,249.0,0.6409864025080304,0.6204552015541351,0.6307208020310828
1313,Ängsö-59-422,SWE,admixed,59.5667,16.8667,7.0,0.6409864025080304,0.5947476018526117,0.617867002180321
1317,Ängsö-74-430,SWE,admixed,59.5667,16.8667,7.0,0.6409864025080304,0.570590717533458,0.6057885600207442
139,LDV-46,FRA,western_europe,48.5167,-4.06667,95.0,0.6409864025080304,0.6272495966089578,0.6341179995584941
9933,VED-10,FRA,admixed,43.74,3.89,127.0,0.6409864025080304,0.5648145026800335,0.602900452594032
9935,BAU-15,FRA,western_europe,50.6,2.93,26.0,0.6409864025080304,0.6088644707163583,0.6249254366121944
9937,CATS-6,FRA,western_europe,50.79,2.69,95.0,0.6409864025080304,0.6079894402470819,0.6244879213775562
9938,WAV-8,FRA,western_europe,50.65,2.99,39.0,0.6409864025080304,0.5810500093286107,0.6110182059183206
9939,Aitba-2,MAR,relict,31.48,-7.45,1402.0,0.6409864025080304,0.619290393175294,0.6301383978416621
9918,SAUL-24,FRA,western_europe,47.43,5.21,247.0,0.6409864025080304,0.5560229952164714,0.5985046988622509
